Data Set 1:Time(s),Data Set 1:Temperature 1(°C),Data Set 1:Temperature 2(°C)
68.4,25.3,25.2
68.5,25.3,25.2
68.6,25.3,25.2
68.7,25.3,25.2
68.8,25.5,25.4
68.9,25.3,25.2
69.0,25.3,25.2
69.1,25.3,25.2
69.2,25.3,25.2
69.3,25.3,25.2
69.4,25.3,25.2
69.5,25.3,25.2
69.6,25.3,25.2
69.7,25.4,25.2
69.8,25.3,25.2
69.9,25.3,25.2
70.0,25.3,25.2
70.1,25.3,25.2
70.2,25.3,25.2
70.3,25.3,25.2
70.4,25.3,25.2
70.5,25.6,25.4
70.6,25.3,25.2
70.7,25.3,25.2
70.8,25.3,25.4
70.9,25.3,25.2
71.0,25.3,25.2
71.1,25.5,25.4
71.2,25.3,25.2
71.3,25.3,25.2
71.4,25.3,25.2
71.5,25.3,25.2
71.6,25.3,25.2
71.7,25.3,25.2
71.8,25.3,25.2
71.9,25.3,25.2
72.0,25.3,25.2
72.1,25.3,25.2
72.2,25.3,25.2
72.3,25.3,25.2
72.4,25.6,25.4
72.5,25.3,25.2
72.6,25.3,25.2
72.7,25.3,25.2
72.8,25.3,25.2
72.9,25.3,25.2
73.0,25.3,25.2
73.1,25.3,25.2
73.2,25.3,25.2
73.3,25.3,25.2
73.4,25.3,25.2
73.5,25.3,25.2
73.6,25.3,25.2
73.7,25.3,25.2
73.8,25.3,25.2
73.9,25.3,25.2
74.0,25.3,25.2
74.1,25.3,25.2
74.2,25.3,25.3
74.3,25.3,25.2
74.4,25.4,25.3
74.5,25.3,25.2
74.6,25.3,25.2
74.7,25.3,25.2
74.8,25.3,25.2
74.9,25.3,25.2
75.0,25.3,25.2
75.1,25.3,25.2
75.2,25.3,25.2
75.3,25.3,25.2
75.4,25.3,25.2
75.5,25.3,25.2
75.6,25.3,25.2
75.7,25.3,25.2
75.8,25.3,25.2
75.9,25.3,25.2
76.0,25.3,25.2
76.1,25.3,25.2
76.2,25.3,25.2
76.3,25.3,25.2
76.4,25.3,25.2
76.5,25.3,25.2
76.6,25.3,25.2
76.7,25.3,25.2
76.8,25.3,25.2
76.9,25.3,25.2
77.0,25.6,25.4
77.1,25.3,25.2
77.2,25.3,25.2
77.3,25.3,25.2
77.4,25.3,25.2
77.5,25.3,25.2
77.6,25.3,25.2
77.7,25.3,25.2
77.8,25.3,25.2
77.9,25.3,25.2
78.0,25.3,25.2
78.1,25.3,25.2
78.2,25.3,25.2
78.3,25.3,25.2
78.4,25.3,25.2
78.5,25.3,25.2
78.6,25.3,25.1
78.7,25.3,25.2
78.8,25.3,25.2
78.9,25.3,25.2
79.0,25.3,25.2
79.1,25.3,25.2
79.2,25.3,25.2
79.3,25.3,25.2
79.4,25.3,25.2
79.5,25.3,25.2
79.6,25.3,25.2
79.7,25.3,25.2
79.8,25.3,25.2
79.9,25.3,25.2
80.0,25.3,25.2
80.1,25.3,25.2
80.2,25.5,25.4
80.3,25.3,25.2
80.4,25.3,25.2
80.5,25.3,25.2
80.6,25.3,25.2
80.7,25.3,25.2
80.8,25.3,25.2
80.9,25.3,25.2
81.0,25.3,25.2
81.1,25.3,25.2
81.2,25.3,25.2
81.3,25.3,25.2
81.4,25.3,25.2
81.5,25.3,25.2
81.6,25.3,25.2
81.7,25.3,25.2
81.8,25.3,25.2
81.9,25.3,25.2
82.0,25.3,25.2
82.1,25.3,25.2
82.2,25.3,25.2
82.3,25.3,25.2
82.4,25.3,25.2
82.5,25.3,25.2
82.6,25.3,25.2
82.7,25.3,25.2
82.8,25.5,25.4
82.9,25.3,25.2
83.0,25.3,25.2
83.1,25.3,25.2
83.2,25.3,25.2
83.3,25.5,25.4
83.4,25.3,25.2
83.5,25.3,25.2
83.6,25.3,25.2
83.7,25.3,25.2
83.8,25.3,25.2
83.9,25.3,25.2
84.0,25.3,25.2
84.1,25.3,25.2
84.2,25.3,25.2
84.3,25.3,25.2
84.4,25.3,25.2
84.5,25.3,25.2
84.6,25.6,25.3
84.7,25.3,25.2
84.8,25.3,25.2
84.9,25.3,25.2
85.0,25.3,25.2
85.1,25.3,25.2
85.2,25.3,25.1
85.3,25.3,25.2
85.4,25.3,25.2
85.5,25.3,25.2
85.6,25.3,25.2
